SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Townhouse,2005 N Buchanan Ct,Arlington,VA,22207,832000,2,3.0,,2444,1916,1996,,340,,,,,https://www.redfin.com/VA/Arlington/2005-N-Buchanan-Ct-22207/home/11234735,,,N,Y,38.8951885,-77.124434
PAST SALE,February-7-2024,Condo/Co-op,1001 N Randolph St #804,Arlington,VA,22201,390000,1,1.0,Arlington,610,,2005,,639,556,Sold,,,https://www.redfin.com/VA/Arlington/1001-N-Randolph-St-22201/unit-804/home/11280464,BRIGHT MLS,VAAR2038086,N,Y,38.8829875,-77.1093249
PAST SALE,April-10-2024,Condo/Co-op,1024 N Utah St #223,Arlington,VA,22201,405000,1,1.0,WESTVIEW AT BALLSTON METRO,698,,2005,,580,522,Sold,,,https://www.redfin.com/VA/Arlington/1024-N-Utah-St-22201/unit-223/home/11280316,BRIGHT MLS,VAAR2041176,N,Y,38.8828413,-77.1140883
PAST SALE,March-29-2024,Single Family Residential,4717 26th St N,Arlington,VA,22207,1600000,3,3.0,SHIRLEY WOODS,3812,17424,1937,,420,,Sold,,,https://www.redfin.com/VA/Arlington/4717-26th-St-N-22207/home/11228442,BRIGHT MLS,VAAR2039780,N,Y,38.902592788,-77.12798282
PAST SALE,March-14-2024,Condo/Co-op,1029 N Stuart St N #216,Arlington,VA,22201,415951,1,1.0,SUMMERWALK I&II,714,,1985,,583,407,Sold,,,https://www.redfin.com/VA/Arlington/1029-N-Stuart-St-22201/unit-216/home/11244968,BRIGHT MLS,VAAR2039428,N,Y,38.8831127,-77.1115574
PAST SALE,December-21-2023,Condo/Co-op,4401 Cherry Hill Rd #58,Arlington,VA,22207,270000,1,1.0,LORCOM HOUSE,795,,1965,,340,621,Sold,,,https://www.redfin.com/VA/Arlington/4401-Cherry-Hill-Rd-22207/unit-58/home/11234293,BRIGHT MLS,VAAR2038098,N,Y,38.8986043,-77.1170477
PAST SALE,May-2-2024,Condo/Co-op,851 N Glebe Rd #103,Arlington,VA,22203,450000,1,1.0,CONTINENTAL,752,,2003,,598,419,Sold,,,https://www.redfin.com/VA/Arlington/851-N-Glebe-Rd-22203/unit-103/home/11279349,BRIGHT MLS,VAAR2041034,N,Y,38.8812488,-77.1145593
PAST SALE,February-29-2024,Townhouse,5701 11th St N #5,Arlington,VA,22205,985000,3,3.5,WESTOVER,2223,1226,2019,,443,120,Sold,,,https://www.redfin.com/VA/Arlington/5701-11th-St-N-22205/unit-5/home/114033504,BRIGHT MLS,VAAR2038664,N,Y,38.8812485,-77.133798
PAST SALE,February-27-2024,Single Family Residential,4866 Little Falls Rd,Arlington,VA,22207,1489900,4,4.0,COUNTRY CLUB MANORS,4448,7835,1989,,335,,Sold,,,https://www.redfin.com/VA/Arlington/4866-Little-Falls-Rd-22207/home/11229026,BRIGHT MLS,VAAR2037670,N,Y,38.9099353,-77.1369981
