SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,April-23-2024,Condo/Co-op,1622 18th St NW Unit A,Washington,DC,20009,932500,2,2.5,Old City 2,1169,,2002,,798,441,Sold,,,https://www.redfin.com/DC/Washington/1622-18th-St-NW-20009/unit-A/home/10185190,BRIGHT MLS,DCDC2128860,N,Y,38.9123948,-77.0418758
PAST SALE,April-18-2024,Condo/Co-op,1411 1/2 21st St NW,Washington,DC,20036,350000,0,1.0,Central,645,,1910,,543,230,Sold,,,https://www.redfin.com/DC/Washington/1411-21st-St-NW-20036/home/180894784,BRIGHT MLS,DCDC2125764,N,Y,38.9090775,-77.0464809
PAST SALE,,Condo/Co-op,1411 21st St NW #1411,Washington,DC,20036,350000,0,1.0,,645,,1910,,543,,,,,https://www.redfin.com/DC/Washington/1411-21st-St-NW-20036/unit-1411/home/9056382,,,N,Y,38.9091162,-77.046637
PAST SALE,April-30-2024,Condo/Co-op,2501 M St NW Unit T02,Washington,DC,20037,750000,1,1.0,Central,820,,2017,,915,667,Sold,,,https://www.redfin.com/DC/Washington/2501-M-St-NW-20037/unit-T02/home/167584274,BRIGHT MLS,DCDC2121316,N,Y,38.9053902,-77.0534916
PAST SALE,May-31-2024,Townhouse,2525 Pennsylvania Ave NW #503,Washington,DC,20037,624900,1,1.0,Central,602,,1900,,1038,258,Sold,,,https://www.redfin.com/DC/Washington/2525-Pennsylvania-Ave-NW-20037/unit-503/home/190469970,BRIGHT MLS,DCDC2136510,N,Y,38.9041752,-77.0539053
PAST SALE,May-31-2024,Townhouse,2525 Pennsylvania Ave NW #402,Washington,DC,20037,614900,1,1.0,Central,640,,1900,,961,282,Sold,,,https://www.redfin.com/DC/Washington/2525-Pennsylvania-Ave-NW-20037/unit-402/home/188185252,BRIGHT MLS,DCDC2136512,N,Y,38.9041752,-77.0539053
PAST SALE,May-20-2024,Condo/Co-op,2475 Virginia Ave NW,Washington,DC,20037,310000,1,1.0,Foggy Bottom,,,1956,,,1304,Sold,,,https://www.redfin.com/DC/Washington/2475-Virginia-Ave-NW-20037/home/179443836,BRIGHT MLS,DCDC2140638,N,Y,38.89905,-77.052542
PAST SALE,,Condo/Co-op,2600 Pennsylvania Ave NW #801,Washington,DC,20037,985000,2,2.0,,982,,2001,,1003,,,,,https://www.redfin.com/DC/Washington/2600-Pennsylvania-Ave-NW-20037/unit-801/home/10182543,,,N,Y,38.9039832,-77.0550683
PAST SALE,,Condo/Co-op,2401 H St NW #809,Washington,DC,20037,280000,1,1.0,,618,,1960,,453,,,,,https://www.redfin.com/DC/Washington/2401-H-St-NW-20037/unit-809/home/9046905,,,N,Y,38.8999319,-77.0516791
PAST SALE,March-18-2024,Townhouse,1518 31st NW,Washington,DC,20007,5495000,5,3.5,Georgetown,4524,4372,1866,,1215,,Sold,,,https://www.redfin.com/DC/Washington/1518-31st-St-NW-20007/home/45505104,BRIGHT MLS,DCDC2125942,N,Y,38.9098702,-77.0618532
PAST SALE,April-17-2024,Condo/Co-op,3299 K St NW #704,Washington,DC,20007,1305000,2,2.0,Georgetown,1290,,1978,,1012,850,Sold,,,https://www.redfin.com/DC/Washington/3299-K-St-NW-20007/unit-704/home/9923902,BRIGHT MLS,DCDC2137522,N,Y,38.9033129,-77.0646312
PAST SALE,,Condo/Co-op,922 24th St NW #521,Washington,DC,20037,162500,1,1.0,,641,,1962,,254,,,,,https://www.redfin.com/DC/Washington/922-24th-St-NW-20037/unit-521/home/9044753,,,N,Y,38.9015335,-77.0516798
PAST SALE,,Condo/Co-op,1111 23rd St NW Unit 7A,Washington,DC,20037,2600000,3,3.5,,2776,,2000,,937,,,,,https://www.redfin.com/DC/Washington/1111-23rd-St-NW-20037/unit-7A/home/10182771,,,N,Y,38.9043228,-77.0499318
PAST SALE,April-15-2024,Condo/Co-op,1425 Rhode Island Ave NW #60,Washington,DC,20005,1500000,2,2.0,Old City 2,1901,,1927,,789,1036,Sold,,,https://www.redfin.com/DC/Washington/1425-Rhode-Island-Ave-NW-20005/unit-60/home/10185364,BRIGHT MLS,DCDC2137304,N,Y,38.9087883,-77.033013
PAST SALE,March-27-2024,Condo/Co-op,2311 M St NW #907,Washington,DC,20037,685000,1,1.5,Central,868,,1989,,789,554,Sold,,,https://www.redfin.com/DC/Washington/2311-M-St-NW-20037/unit-907/home/10191906,BRIGHT MLS,DCDC2135868,N,Y,38.9055646,-77.0507346
PAST SALE,,Townhouse,1708 Johnson Ave NW,Washington,DC,20009,1300000,2,2.5,,1552,1180,1890,,838,,,,,https://www.redfin.com/DC/Washington/1708-Johnson-Ave-NW-20009/home/9869693,,,N,Y,38.9129605,-77.0334516
PAST SALE,May-1-2024,Single Family Residential,3232 O St NW,Washington,DC,20007,2300000,4,4.0,Georgetown,2936,3211,1900,,783,,Sold,,,https://www.redfin.com/DC/Washington/3232-O-St-NW-20007/home/9926594,BRIGHT MLS,DCDC2130902,N,Y,38.9075756,-77.06462
PAST SALE,March-29-2024,Condo/Co-op,2516 Q St NW Unit Q301,Washington,DC,20007,1725000,2,2.5,Georgetown,1677,,1922,,1029,1313,Sold,,,https://www.redfin.com/DC/Washington/2516-Q-St-NW-20007/unit-Q301/home/21644609,BRIGHT MLS,DCDC2135152,N,Y,38.9100078,-77.0538835
PAST SALE,,Condo/Co-op,2111 O St NW Unit 2111B,Washington,DC,20037,507000,1,1.0,,608,,1979,,834,,,,,https://www.redfin.com/DC/Washington/2111-O-St-NW-20037/unit-2111B/home/9051285,,,N,Y,38.9087531,-77.0472377
PAST SALE,May-24-2024,Condo/Co-op,1520 O St NW #308,Washington,DC,20005,725000,2,2.0,Old City 2,906,,1998,,800,474,Sold,,,https://www.redfin.com/DC/Washington/1520-O-St-NW-20005/unit-308/home/10173619,BRIGHT MLS,DCDC2139210,N,Y,38.9084967,-77.035235
PAST SALE,April-29-2024,Townhouse,1669 Avon Pl NW,Washington,DC,20007,3501500,5,5.0,GEORGETOWN,3000,,2024,,1167,,Sold,,,https://www.redfin.com/DC/Washington/1669-Avon-Pl-NW-20007/home/190615271,BRIGHT MLS,DCDC2139114,N,Y,38.9123559,-77.060791
PAST SALE,March-13-2024,Townhouse,1429 Q St NW,Washington,DC,20009,2400000,5,4.5,Old City 2,4016,2090,1880,,598,,Sold,,,https://www.redfin.com/DC/Washington/1429-Q-St-NW-20009/home/9870031,BRIGHT MLS,DCDC2112374,N,Y,38.9113096,-77.0332738
PAST SALE,April-3-2024,Condo/Co-op,1441 Rhode Island Ave NW #206,Washington,DC,20005,505000,1,1.0,Old City 2,650,,2003,,777,521,Sold,,,https://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-206/home/21647953,BRIGHT MLS,DCDC2131012,N,Y,38.9086119,-77.033718
PAST SALE,,Condo/Co-op,1330 New Hampshire Ave NW #1002,Washington,DC,20036,337100,1,1.0,,503,,1963,,670,,,,,https://www.redfin.com/DC/Washington/1330-New-Hampshire-Ave-NW-20036/unit-1002/home/9057415,,,N,Y,38.9083086,-77.0451575
PAST SALE,March-8-2024,Condo/Co-op,2129 Florida Ave NW #203,Washington,DC,20008,399999,1,1.0,Kalorama,595,,1916,,672,575,Sold,,,https://www.redfin.com/DC/Washington/2129-Florida-Ave-NW-20008/unit-203/home/9997503,BRIGHT MLS,DCDC2128060,N,Y,38.9132319,-77.0474869
PAST SALE,March-14-2024,Townhouse,1517 31st St NW,Washington,DC,20007,2900000,5,3.5,Georgetown,4139,2626,1900,,701,,Sold,,,https://www.redfin.com/DC/Washington/1517-31st-St-NW-20007/home/9929914,BRIGHT MLS,DCDC2130056,N,Y,38.909847,-77.061512
PAST SALE,May-21-2024,Condo/Co-op,1305-1315 30th St NW #304,Washington,DC,20007,1225000,1,2.0,GEORGETOWN,896,,1820,,1367,557,Sold,,,https://www.redfin.com/DC/Washington/1305-30th-St-NW-20007/unit-304/home/190585361,BRIGHT MLS,DCDC2138488,N,Y,38.9071122,-77.0589906
PAST SALE,May-31-2024,Condo/Co-op,1701 16th St NW #710,Washington,DC,20009,230000,0,1.0,Old City 2,350,,1920,,657,298,Sold,,,https://www.redfin.com/DC/Washington/1701-16th-St-NW-20009/unit-710/home/22017075,BRIGHT MLS,DCDC2137056,N,Y,38.912884,-77.0358918
PAST SALE,May-24-2024,Condo/Co-op,1305-1315 30th St NW #301,Washington,DC,20007,1290000,2,2.0,GEORGETOWN,1023,,1820,,1261,499,Sold,,,https://www.redfin.com/DC/Washington/1305-30th-Street-NW-20007/unit-301/home/190729835,BRIGHT MLS,DCDC2141058,N,Y,38.9071122,-77.0589906
PAST SALE,April-24-2024,Condo/Co-op,1305-1315 30th St NW #206,Washington,DC,20007,1275000,1,2.0,GEORGETOWN,1063,,1820,,1199,649,Sold,,,https://www.redfin.com/DC/Washington/1305-30th-St-NW-20007/unit-206/home/189717185,BRIGHT MLS,DCDC2127672,N,Y,38.9071122,-77.0589906
PAST SALE,April-22-2024,Condo/Co-op,1401 17th St NW #805,Washington,DC,20036,705000,2,2.0,Old City 2,829,,1987,,850,792,Sold,,,https://www.redfin.com/DC/Washington/1401-17th-St-NW-20036/unit-805/home/9866842,BRIGHT MLS,DCDC2134066,N,Y,38.9090146,-77.0381897
PAST SALE,April-17-2024,Townhouse,1507 Church St NW,Washington,DC,20005,1500000,3,2.5,Old City 2,1665,944,1978,,901,,Sold,,,https://www.redfin.com/DC/Washington/1507-Church-St-NW-20005/home/9868482,BRIGHT MLS,DCDC2130596,N,Y,38.910502,-77.0349658
PAST SALE,April-15-2024,Condo/Co-op,1305-1315 30th St NW #306,Washington,DC,20007,1312500,1,2.0,GEORGETOWN,1025,,1820,,1280,649,Sold,,,https://www.redfin.com/DC/Washington/1305-30th-St-NW-20007/unit-306/home/189740164,BRIGHT MLS,DCDC2128432,N,Y,38.9071122,-77.0589906
PAST SALE,April-22-2024,Condo/Co-op,1305-1315 30th St NW #204,Washington,DC,20007,1049000,1,2.0,GEORGETOWN,900,,1820,,1166,557,Sold,,,https://www.redfin.com/DC/Washington/1305-30th-St-NW-20007/unit-204/home/189740197,BRIGHT MLS,DCDC2128428,N,Y,38.9071122,-77.0589906
PAST SALE,May-17-2024,Condo/Co-op,1099 22nd St NW #409,Washington,DC,20037,880000,2,2.5,Central,1358,,1985,,648,1308,Sold,,,https://www.redfin.com/DC/Washington/1099-22nd-St-NW-20037/unit-409/home/9053934,BRIGHT MLS,DCDC2135220,N,Y,38.9033953,-77.0485658
PAST SALE,June-4-2024,Condo/Co-op,3120 R St NW #101,Washington,DC,20007,649000,2,2.0,Georgetown,975,,1966,,666,663,Sold,,,https://www.redfin.com/DC/Washington/3120-R-St-NW-20007/unit-101/home/166644219,BRIGHT MLS,DCDC2141822,N,Y,38.9133198,-77.0640464
PAST SALE,June-4-2024,Townhouse,1219 29th St NW,Washington,DC,20007,1835000,3,3.5,Georgetown,2700,2827,1865,,680,,Sold,,,https://www.redfin.com/DC/Washington/1219-29th-St-NW-20007/home/9925547,BRIGHT MLS,DCDC2128162,N,Y,38.9057999,-77.0579192
PAST SALE,May-22-2024,Condo/Co-op,1721 20th St NW Unit T02,Washington,DC,20009,784000,2,2.0,Old City 2,795,,1890,,986,364,Sold,,,https://www.redfin.com/DC/Washington/1721-20th-St-NW-20009/unit-T02/home/169197306,BRIGHT MLS,DCDC2135386,N,Y,38.9132531,-77.0446858
PAST SALE,April-1-2024,Parking,1657 31st St NW,Washington,DC,20007,108000,0,,Georgetown,,254,1920,,,,Sold,,,https://www.redfin.com/DC/Washington/1657-31st-St-NW-20007/home/166599989,BRIGHT MLS,DCDC2133728,N,Y,38.9121548,-77.062248
PAST SALE,April-15-2024,Condo/Co-op,2500 Q St NW #226,Washington,DC,20007,450000,1,1.0,Georgetown,894,,1942,,503,1002,Sold,,,https://www.redfin.com/DC/Washington/2500-Q-St-NW-20007/unit-226/home/9928886,BRIGHT MLS,DCDC2127530,N,Y,38.910383,-77.052162
PAST SALE,April-10-2024,Single Family Residential,1419 R St NW #52,Washington,DC,20009,599000,2,1.0,Old City 2,1235,,1901,,485,1000,Sold,,,https://www.redfin.com/DC/Washington/1419-R-St-NW-20009/unit-52/home/190067226,BRIGHT MLS,DCDC2130956,N,Y,38.9128502,-77.0328311
PAST SALE,March-11-2024,Condo/Co-op,1400 Church St NW #510,Washington,DC,20005,685000,1,1.0,Old City 2,835,,2006,,820,490,Sold,,,https://www.redfin.com/DC/Washington/1400-Church-St-NW-20005/unit-510/home/11746033,BRIGHT MLS,DCDC2127744,N,Y,38.9102195,-77.0323266
