,LOCATION,PRICE,ZIP OR POSTAL CODE,TARGET_ENCODED_PRICE_5,TARGET_ENCODED_PRICE_10,TARGET_ENCODED_PRICE_15,TARGET_ENCODED_PRICE_20,TARGET_ENCODED_PRICE_25,TARGET_ENCODED_PRICE_30,TARGET_ENCODED_PRICE_35,TARGET_ENCODED_PRICE_40,TARGET_ENCODED_PRICE_45,TARGET_ENCODED_PRICE_50
0,WESTVIEW AT BALLSTON METRO,405000.0,22201.0,417500.0,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625
1,SHIRLEY WOODS,1600000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
2,SUMMERWALK I&II,415951.0,22201.0,472658.5,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625,792921.9140625
3,CONTINENTAL,450000.0,22203.0,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235,681434.1470588235
4,LORCOM GROVE,2100000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
5,MADISON MANOR,1505000.0,22205.0,1316000.0,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894
6,WESTOVER,780000.0,22205.0,1096625.0,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894
7,GLEBEWOOD VILLAGE,830000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
8,CRESTON,2240000.0,22207.0,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697,1535607.5316455697
9,WESTOVER,1085000.0,22205.0,1096625.0,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894,1376562.5263157894
