,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE
0,2024-04-10,Condo/Co-op,1024 N Utah St #223,Arlington,VA,22201.0,405000.0,1.0,1.0,WESTVIEW AT BALLSTON METRO,698.0,,2005.0,522.0,38.8828413,-77.1140883
1,2024-03-29,Single Family Residential,4717 26th St N,Arlington,VA,22207.0,1600000.0,3.0,3.0,SHIRLEY WOODS,3812.0,17424.0,1937.0,0.0,38.902592788,-77.12798282
2,2024-03-14,Condo/Co-op,1029 N Stuart St N #216,Arlington,VA,22201.0,415951.0,1.0,1.0,SUMMERWALK I&II,714.0,,1985.0,407.0,38.8831127,-77.1115574
3,2024-05-02,Condo/Co-op,851 N Glebe Rd #103,Arlington,VA,22203.0,450000.0,1.0,1.0,CONTINENTAL,752.0,,2003.0,419.0,38.8812488,-77.1145593
4,2024-05-03,Single Family Residential,4224 23rd St N,Arlington,VA,22207.0,2100000.0,5.0,4.5,LORCOM GROVE,5694.0,6686.0,2007.0,0.0,38.9006931,-77.1134365
5,2024-04-05,Single Family Residential,1101 N Potomac St,Arlington,VA,22205.0,1505000.0,3.0,2.5,MADISON MANOR,1452.0,6263.0,1947.0,0.0,38.8795979,-77.1477532
6,2024-03-22,Single Family Residential,1453 N Lancaster St,Arlington,VA,22205.0,780000.0,2.0,2.0,WESTOVER,1042.0,5100.0,1938.0,0.0,38.8836819,-77.1419326
7,2024-04-17,Townhouse,2176 N Brandywine St,Arlington,VA,22207.0,830000.0,4.0,3.5,GLEBEWOOD VILLAGE,1880.0,3367.0,1938.0,0.0,38.8965312,-77.1253145
8,2024-03-15,Single Family Residential,4831 33rd Rd N,Arlington,VA,22207.0,2240000.0,5.0,4.5,CRESTON,4551.0,7500.0,2024.0,0.0,38.9107041,-77.1343851
9,2024-04-11,Townhouse,1011 N Kensington St,Arlington,VA,22205.0,1085000.0,4.0,4.0,WESTOVER,1900.0,1360.0,2015.0,175.0,38.8804009,-77.1327178
10,2024-04-30,Single Family Residential,1301 N Utah St,Arlington,VA,22201.0,1125000.0,4.0,1.0,BALLSTON,1984.0,9525.0,1925.0,0.0,38.8874123,-77.1140858
11,2024-03-08,Condo/Co-op,900 N Taylor St Unit 1505 & 1507,Arlington,VA,22203.0,440000.0,2.0,2.0,JEFFERSON RES,1423.0,,1992.0,552.0,38.8812752,-77.1130095
12,2024-03-12,Condo/Co-op,900 N Taylor St #1129,Arlington,VA,22203.0,95500.0,1.0,1.0,JEFFERSON RES,775.0,,1992.0,295.0,38.8812752,-77.1130095
13,2024-04-15,Single Family Residential,6112 31st St N,Arlington,VA,22207.0,2534147.0,7.0,6.5,FALLVIEW,5856.0,8085.0,2024.0,0.0,38.8997193,-77.1525383
14,2024-04-15,Single Family Residential,6244 23rd St N,Arlington,VA,22205.0,1015000.0,4.0,2.0,OVER LEE KNOLLS,1482.0,13024.0,1940.0,0.0,38.8908894,-77.1519776
15,2024-04-12,Townhouse,1135 N Taylor St,Arlington,VA,22201.0,1002927.0,3.0,3.5,OLDE BALLSTOWNE,1927.0,,1984.0,375.0,38.8845824,-77.1127566
16,2024-05-31,Single Family Residential,4717 25th St N,Arlington,VA,22207.0,1750000.0,4.0,3.5,LEE HEIGHTS,3190.0,10425.0,1999.0,0.0,38.9024107,-77.1252133
17,2024-04-05,Single Family Residential,2027 N Utah St,Arlington,VA,22207.0,1300000.0,4.0,3.5,WILLET HEIGHTS,1594.0,6000.0,1939.0,0.0,38.8959165,-77.1141557
18,2024-04-05,Single Family Residential,2230 N Burlington St,Arlington,VA,22207.0,925000.0,3.0,1.5,ARLINGTON,1242.0,5598.0,1947.0,0.0,38.8974994,-77.1263137
19,2024-04-30,Single Family Residential,3154 N Quincy St,Arlington,VA,22207.0,1250000.0,3.0,2.0,BELLEVUE FOREST,1566.0,9865.0,1949.0,0.0,38.9148716,-77.1174821
20,2024-05-07,Single Family Residential,4243 Vacation Ln,Arlington,VA,22207.0,1650000.0,3.0,3.0,LORCOM GROVE,2796.0,9829.0,1939.0,0.0,38.9025999,-77.1134185
21,2024-05-06,Single Family Residential,2509 N Quantico St,Arlington,VA,22207.0,1250000.0,3.0,2.0,Arlington,1834.0,5000.0,1941.0,0.0,38.8943294,-77.1537168
22,2024-04-30,Single Family Residential,6037 25th St N,Arlington,VA,22207.0,875000.0,6.0,4.5,NORWOOD,1290.0,7362.0,1956.0,0.0,38.8946969,-77.1485388
23,2024-03-15,Single Family Residential,5224 28th St N,Arlington,VA,22207.0,835000.0,2.0,2.0,MILBURN TERRACE,940.0,6604.0,1943.0,0.0,38.9016054,-77.1402124
24,2024-03-06,Single Family Residential,4704 25th St N,Arlington,VA,22207.0,2500000.0,6.0,5.5,LYONHURST,5102.0,13035.0,2023.0,0.0,38.9021417,-77.1245897
25,2024-03-22,Single Family Residential,5013 Washington Blvd,Arlington,VA,22205.0,1400000.0,4.0,4.5,WAYCROFT,2079.0,3811.0,2004.0,0.0,38.885342,-77.124003
26,2024-03-29,Single Family Residential,1940 N Roosevelt Ave,Arlington,VA,22205.0,1875000.0,5.0,5.5,LINDSEY'S,3949.0,6009.0,2023.0,0.0,38.8871672,-77.1547608
27,2024-05-17,Single Family Residential,1064 N Montana St,Arlington,VA,22205.0,1545000.0,4.0,2.5,DOMINION HILLS,1894.0,5759.0,1945.0,0.0,38.8803285,-77.1449886
28,2024-05-02,Single Family Residential,5624 27th St N,Arlington,VA,22207.0,2300000.0,5.0,5.5,COUNTRY CLUB,5698.0,8104.0,2009.0,0.0,38.8981852,-77.1438818
29,2024-04-05,Condo/Co-op,4401 Cherry Hill Rd #46,Arlington,VA,22207.0,320000.0,2.0,1.0,WAVERLY HILLS,965.0,,1965.0,646.0,38.8986043,-77.1170477
30,2024-03-21,Townhouse,1106 Vermont,Arlington,VA,22201.0,1008700.0,3.0,3.0,BALLSTON AREA TOWNH,2160.0,1220.0,1984.0,150.0,38.8839568,-77.1151784
31,2024-03-27,Single Family Residential,4305 Washington Blvd,Arlington,VA,22201.0,825000.0,3.0,2.0,BALLSTON,2000.0,4238.0,1952.0,0.0,38.8857596,-77.1134365
32,2024-05-22,Townhouse,6707 Washington Blvd Unit D,Arlington,VA,22213.0,703555.0,2.0,1.5,LAUREL MEWS & WA COURT,1110.0,,1979.0,445.0,38.888224,-77.159146
33,2024-04-12,Single Family Residential,5151 10th Rd N,Arlington,VA,22205.0,1475000.0,4.0,2.5,LACEY FOREST,2304.0,8265.0,1949.0,0.0,38.8822075,-77.1266736
