SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-28-2020,Townhouse,1237 K St SE,Washington,DC,20003,695000,2,1.5,OLD CITY I,1020,771,1925,,681,,Sold,,,https://www.redfin.com/DC/Washington/1237-K-St-SE-20003/home/9912224,BRIGHT MLS,DCDC454790,N,Y,38.8782369,-76.988977
PAST SALE,July-5-2023,Townhouse,1330 K St SE #2,Washington,DC,20003,1155000,3,3.0,Old City 1,1838,,1926,,628,197,Sold,,,https://www.redfin.com/DC/Washington/1330-K-St-SE-20003/unit-2/home/176441739,BRIGHT MLS,DCDC2096300,N,Y,38.8788445,-76.9873139
PAST SALE,April-30-2021,Condo/Co-op,1391 Pennsylvania Ave SE #259,Washington,DC,20003,565000,2,2.0,OLD CITY I,1029,,2007,,549,608,Sold,,,https://www.redfin.com/DC/Washington/1391-Pennsylvania-Ave-SE-20003/unit-259/home/12531415,BRIGHT MLS,DCDC514282,N,Y,38.8802061,-76.9876123
PAST SALE,April-27-2022,Condo/Co-op,1404 K St SE #1,Washington,DC,20003,790000,3,2.0,Old City 1,1483,,2014,,533,165,Sold,,,https://www.redfin.com/DC/Washington/1404-K-St-SE-20003/unit-1/home/96402232,BRIGHT MLS,DCDC2037418,N,Y,38.8785808,-76.9851637
PAST SALE,March-18-2021,Condo/Co-op,1391 Pennsylvania Ave SE #351,Washington,DC,20003,464900,2,1.0,OLD CITY I,866,,2007,,537,518,Sold,,,https://www.redfin.com/DC/Washington/1391-Pennsylvania-Ave-SE-20003/unit-351/home/12531237,BRIGHT MLS,DCDC508472,N,Y,38.8802061,-76.9876123
PAST SALE,January-21-2021,Condo/Co-op,1391 Pennsylvania Ave SE Unit M01,Washington,DC,20003,540000,2,2.0,OLD CITY I,1049,,2007,,515,608,Sold,,,https://www.redfin.com/DC/Washington/1391-Pennsylvania-Ave-SE-20003/unit-M01/home/12531593,BRIGHT MLS,DCDC497842,N,Y,38.8802061,-76.9876123
PAST SALE,May-27-2020,Condo/Co-op,1500 Pennsylvania Ave SE #210,Washington,DC,20003,463500,2,1.0,OLD CITY I,667,,2016,,695,380,Sold,,,https://www.redfin.com/DC/Washington/1500-Pennsylvania-Ave-SE-20003/unit-210/home/113745693,BRIGHT MLS,DCDC464440,N,Y,38.8799113,-76.9833427
PAST SALE,June-16-2020,Condo/Co-op,1391 Pennsylvania Ave SE #251,Washington,DC,20003,270000,0,1.0,OLD CITY I,451,,2007,,599,265,Sold,,,https://www.redfin.com/DC/Washington/1391-Pennsylvania-Ave-SE-20003/unit-251/home/12531423,BRIGHT MLS,DCDC463360,N,Y,38.8802061,-76.9876123
PAST SALE,January-12-2024,Condo/Co-op,1391 Pennsylvania Ave SE #203,Washington,DC,20003,595000,2,2.0,Old City 1,1029,,2007,,578,657,Sold,,,https://www.redfin.com/DC/Washington/1391-Pennsylvania-Ave-SE-20003/unit-203/home/12531466,BRIGHT MLS,DCDC2116078,N,Y,38.8802061,-76.9876123
