SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_metro_direct
2024-04-15,Condo/Co-op,1391 Pennsylvania Ave SE #354,Washington,DC,20003.0,295000.0,0.0,1.0,Old City 1,451.0,,2007.0,310.0,38.8802061,-76.9876123,0.3755467184256788,0.21819815650695348
2024-05-10,Townhouse,1346 K St SE,Washington,DC,20003.0,560000.0,3.0,1.0,Old City 1,1400.0,1752.0,1926.0,0.0,38.8785664,-76.9868844,0.5666414889056168,0.2861950778523546
2024-03-28,Condo/Co-op,1391 Pennsylvania Ave SE #311,Washington,DC,20003.0,695000.0,2.0,2.0,Old City 1,1234.0,,2007.0,831.0,38.8802061,-76.9876123,0.3755467184256788,0.21819815650695348
2024-03-22,Townhouse,1507 Freedom Way SE,Washington,DC,20003.0,785000.0,3.0,3.5,HILL EAST,1766.0,,1979.0,0.0,38.8797734,-76.9828624,0.701799612776747,0.23157231781463367
2024-04-15,Condo/Co-op,1391 Pennsylvania Ave SE #426,Washington,DC,20003.0,425000.0,1.0,1.0,Old City 1,684.0,,2007.0,475.0,38.8802061,-76.9876123,0.3755467184256788,0.21819815650695348
2024-03-05,Townhouse,1414 K St SE,Washington,DC,20003.0,579500.0,3.0,1.0,Old City 1,1395.0,1425.0,1910.0,0.0,38.8785693,-76.9848595,0.6609410163915469,0.24787220139770733
2024-05-16,Condo/Co-op,1391 Pennsylvania Ave SE #545,Washington,DC,20003.0,679900.0,2.0,2.0,Old City 1,1175.0,,2007.0,861.0,38.8802061,-76.9876123,0.3755467184256788,0.21819815650695348
2024-03-26,Condo/Co-op,1345 K St SE Unit T01,Washington,DC,20003.0,575000.0,2.0,2.0,Old City 1,1058.0,,2017.0,485.0,38.8782241,-76.9866185,0.6109171891992691,0.3097461117339062
2024-03-08,Condo/Co-op,1340 L St SE,Washington,DC,20003.0,660000.0,2.0,1.5,Old City 1,1188.0,,1980.0,150.0,38.8776834,-76.9868404,0.6580762035119592,0.3726137639516669
2024-04-30,Single Family Residential,1101 44th Pl SE,Washington,DC,20019.0,608000.0,3.0,3.0,Fort Dupont Park,2128.0,4056.0,1960.0,0.0,38.8784905,-76.9375731,0.8546818385551846,1.3164868863607264
2024-03-15,Townhouse,100 Forrester St SW,Washington,DC,20032.0,319900.0,2.0,1.5,Congress Heights,1142.0,2428.0,1942.0,0.0,38.8250274,-77.0099575,1.92709448755941,2.9141043708364696
2024-03-29,Townhouse,623 E St SE,Washington,DC,20003.0,1950000.0,4.0,3.5,Capitol Hill,2456.0,2558.0,1890.0,0.0,38.8825828,-76.9975845,0.6857446301717659,0.2290957478429058
2024-03-08,Single Family Residential,1617 W W St SE,Washington,DC,20020.0,615000.0,4.0,2.5,Anacostia,2520.0,2880.0,1905.0,0.0,38.8633489,-76.9822429,1.023399189234735,1.1164408522310367
2024-03-12,Townhouse,1014 S Carolina Ave SE,Washington,DC,20003.0,1250000.0,3.0,2.5,Capitol Hill,1581.0,1188.0,1908.0,0.0,38.8852232,-76.9920837,0.3080392398914641,0.33566148664182155
2024-03-29,Single Family Residential,3129 Westover Dr SE,Washington,DC,20020.0,725000.0,5.0,3.5,Hillcrest,3232.0,5089.0,1940.0,0.0,38.8686423,-76.9621937,1.1302488778013293,2.2872217319030494
2024-05-28,Townhouse,709-711 G St SE,Washington,DC,20003.0,2400000.0,8.0,4.0,Old City 1,6469.0,3731.0,1934.0,0.0,38.8810789,-76.9957284,0.5713405708148453,0.3479851447326494
2024-04-22,Condo/Co-op,525 Water St SW #417,Washington,DC,20024.0,1251300.0,3.0,2.5,R. L. A. SW,1405.0,,2016.0,1389.0,38.8758716,-77.0205659,0.22273233122060782,0.11306210351421807
2024-03-29,Townhouse,3655 Horner Pl SE,Washington,DC,20032.0,300000.0,3.0,2.0,Congress Heights,1184.0,1446.0,1953.0,0.0,38.8383679,-77.0045093,0.7830654922848763,1.609710566480083
2024-03-08,Townhouse,135 Wilmington Pl SE,Washington,DC,20032.0,230000.0,6.0,2.0,Congress Heights,1359.0,3750.0,1940.0,0.0,38.8359332,-77.004109,0.78877567846512,1.7246490805303063
2024-04-18,Townhouse,1319 S Carolina Ave SE,Washington,DC,20003.0,1100000.0,2.0,1.5,Old City 1,1318.0,1359.0,1900.0,0.0,38.8859042,-76.987641,0.35253804431068947,0.5541802918167267
2024-03-15,Townhouse,1917 Naylor Rd SE,Washington,DC,20020.0,324500.0,3.0,1.0,Anacostia,1152.0,1633.0,1937.0,0.0,38.8729716,-76.9776687,0.2195138489373498,1.0861250542119958
2024-04-12,Townhouse,89 49th St SE,Washington,DC,20019.0,522000.0,3.0,2.5,Marshall Heights,,1857.0,2023.0,0.0,38.888532,-76.932569,0.38008627299207715,0.459654169051353
2024-04-11,Single Family Residential,3309 22nd St NE,Washington,DC,20020.0,450000.0,2.0,2.0,Woodridge,1647.0,4600.0,1909.0,0.0,38.8497628,-76.9744264,0.40520253663778755,1.2531941441979826
2024-03-07,Condo/Co-op,1025 1st SE #1405,Washington,DC,20003.0,825000.0,2.0,2.0,Old City 1,1188.0,,2009.0,779.0,38.8776645,-77.0061079,1.2598586549195663,0.13329950474088073
2024-05-30,Single Family Residential,3819 Suitland Rd SE,Washington,DC,20020.0,600000.0,3.0,2.5,Hillcrest,2192.0,28048.0,1944.0,0.0,38.8614926,-76.9516358,0.8027655202300552,3.436581592435562
2024-05-28,Single Family Residential,1608 22nd St SE,Washington,DC,20020.0,335000.0,4.0,1.0,Randle Heights,1330.0,3125.0,1912.0,0.0,38.8703323,-76.9747698,0.2115066604889106,1.4716997747293672
2024-04-19,Single Family Residential,3616 Bangor St SE,Washington,DC,20020.0,889900.0,3.0,1.5,Hillcrest,1640.0,8250.0,1948.0,0.0,38.8606807,-76.9554454,1.0215003613646092,3.273118847479832
2024-03-14,Townhouse,101 49th SE,Washington,DC,20019.0,527000.0,3.0,2.5,Marshall Heights,,2273.0,2023.0,0.0,38.888167,-76.932731,0.34294522534824273,0.46662087983596107
2024-04-08,Townhouse,211 6th St SE,Washington,DC,20003.0,1550000.0,3.0,3.5,Capitol Hill,2367.0,1640.0,1908.0,0.0,38.8872051,-76.9987094,0.8999669607540451,0.4033791983725972
2024-04-08,Condo/Co-op,1211 Van St SE Ph -13A,Washington,DC,20003.0,1570000.0,3.0,2.5,CAPITOL RIVERFRONT,1691.0,,2020.0,1245.0,38.87628,-77.0085016,1.2158345721850827,0.10479076586615994
2024-03-08,Townhouse,114 Duddington Pl SE,Washington,DC,20003.0,960000.0,2.0,2.5,Capitol Hill,1260.0,891.0,1907.0,0.0,38.8827683,-77.0052784,0.8421932111792182,0.27274921798596846
2024-04-26,Townhouse,717 Kentucky Ave SE,Washington,DC,20003.0,961000.0,3.0,2.5,Old City 1,1580.0,1122.0,1912.0,0.0,38.8806429,-76.9829752,0.646084412302685,0.1920827985617234
2024-04-23,Single Family Residential,4437 Alabama Ave SE,Washington,DC,20019.0,506750.0,2.0,2.0,Fort Dupont Park,1555.0,5922.0,1935.0,0.0,38.8754846,-76.9366008,0.8745330841321929,1.6518688273620912
2024-04-29,Condo/Co-op,245 15th St SE #104,Washington,DC,20003.0,645000.0,2.0,2.0,Old City 1,1022.0,,2008.0,724.0,38.8858056,-76.9838725,0.5833243553578367,0.5143358452614091
2024-03-15,Single Family Residential,161 Danbury St SW,Washington,DC,20032.0,295000.0,2.0,2.5,Congress Heights,1268.0,560.0,2006.0,160.0,38.8279474,-77.0117253,1.8102439018452952,2.7932453088161195
2024-03-15,Townhouse,321 E St SE,Washington,DC,20003.0,1350000.0,3.0,2.0,Capitol Hill,2214.0,1074.0,1909.0,0.0,38.8830511,-77.0013152,1.0056540156764828,0.4724085559981402
2024-03-22,Condo/Co-op,300 M St SW Unit N613,Washington,DC,20024.0,249000.0,0.0,1.0,R. L. A. SW,464.0,,1967.0,535.0,38.8759398,-77.0164585,0.5410868149081675,0.10668278980754428
2024-05-03,Townhouse,604 E SE,Washington,DC,20003.0,875000.0,2.0,1.5,Capitol Hill,1344.0,634.0,1900.0,0.0,38.8829159,-76.9981357,0.7308987683569867,0.23535434673218153
2024-06-03,Townhouse,719 North Carolina Ave SE,Washington,DC,20003.0,1620000.0,3.0,2.5,Capitol Hill,2040.0,2339.0,1900.0,0.0,38.8874314,-76.9953797,0.6831064694488167,0.35598504799092734
2024-04-02,Condo/Co-op,530 N St SW Unit S907,Washington,DC,20024.0,750000.0,1.0,1.0,SW WATERFRONT,1165.0,,1966.0,1920.0,38.8740144,-77.0184717,0.496507928636214,0.2520455944098147
2024-04-01,Townhouse,1539 A St SE,Washington,DC,20003.0,700000.0,2.0,1.5,Old City 1,1148.0,645.0,1885.0,0.0,38.8884865,-76.9824203,0.8640320433576367,0.46200795204561906
2024-04-09,Townhouse,2246 Southern Ave SE,Washington,DC,20020.0,425000.0,4.0,2.0,Randle Heights,1408.0,3094.0,1947.0,0.0,38.8448594,-76.9713157,1.010838071428193,1.4077087555793366
2024-05-03,Townhouse,326 L St SE,Washington,DC,20003.0,1350000.0,4.0,3.5,Old City 1,2250.0,918.0,2012.0,99.0,38.8776621,-77.0011298,1.1636201827239399,0.3034358989173992
2024-05-27,Townhouse,708 G St SE,Washington,DC,20003.0,899000.0,3.0,2.5,Capitol Hill,1920.0,1269.0,1900.0,0.0,38.881516,-76.995693,0.5504756849362809,0.2994043558284673
2024-04-12,Townhouse,1902 Ridge Pl SE,Washington,DC,20020.0,590000.0,4.0,3.5,Randle Heights,1650.0,2606.0,1941.0,0.0,38.8690169,-76.9770637,0.3819806552698994,1.4859255616576676
2024-05-31,Townhouse,517 10th St SE,Washington,DC,20003.0,1250000.0,2.0,2.5,Capitol Hill,1472.0,1607.0,1906.0,0.0,38.8821186,-76.9928487,0.29663567965885695,0.34125727744549395
2024-05-28,Townhouse,413 18th St SE,Washington,DC,20003.0,670000.0,3.0,1.5,Old City 1,1240.0,1792.0,1925.0,0.0,38.8835597,-76.979204,0.9093567023826816,0.2983308316573116
2024-04-05,Condo/Co-op,501 Slaters Ln #405,Alexandria,VA,22314.0,500000.0,1.0,1.0,MARINA TOWERS,840.0,,1970.0,689.0,38.822431,-77.0414759,1.622198884090036,1.264867485032037
2024-04-23,Townhouse,418 10th St SE,Washington,DC,20003.0,1036000.0,4.0,2.5,Capitol Hill,2217.0,942.0,1900.0,0.0,38.8835354,-76.9924212,0.23924878915240325,0.29651559498643765
2024-05-16,Condo/Co-op,1201 N Royal St #207,Alexandria,VA,22314.0,1507500.0,2.0,2.0,OLD TOWN ALEXANDRIA,1581.0,,2022.0,1466.0,38.8174228,-77.0403898,2.1864051150498574,1.2068925706863893
2024-03-11,Townhouse,2504 Minnesota Ave SE,Washington,DC,20020.0,330000.0,4.0,2.0,Hillcrest,1496.0,1107.0,1940.0,0.0,38.8741805,-76.9697585,0.5323069192433166,1.4232409841194613
2024-03-19,Townhouse,1507 G St SE,Washington,DC,20003.0,815000.0,3.0,1.0,Old City 1,2062.0,960.0,1911.0,0.0,38.881043,-76.9825202,0.6646867377004445,0.2260182250175425
2024-05-21,Condo/Co-op,37 L St SE #703,Washington,DC,20003.0,422000.0,1.0,1.0,Old City 1,565.0,,2021.0,377.0,38.8772448,-77.0080904,1.2387785142120662,0.14543631686518244
2024-05-02,Townhouse,238 14th St SE,Washington,DC,20003.0,949000.0,2.0,2.5,Old City 1,1772.0,2063.0,1909.0,0.0,38.8858903,-76.98526,0.4890770166257473,0.5107895316340587
2024-06-03,Condo/Co-op,3934-B Stone Gate Dr Unit B,Suitland,MD,20746.0,90000.0,1.0,1.0,STONEGATE CONDO- PHASE III,675.0,1655.0,1961.0,270.0,38.8612519,-76.9480672,0.8053095975449498,3.363618310470094
2024-04-11,Townhouse,1412 D St SE,Washington,DC,20003.0,679800.0,2.0,1.0,Old City 1,1152.0,1661.0,1910.0,0.0,38.8843313,-76.9849852,0.42793486221331056,0.3379198551448328
2024-05-02,Townhouse,616 4th Pl SW,Washington,DC,20024.0,1250000.0,4.0,3.5,R. L. A. SW,2840.0,1440.0,1968.0,84.0,38.8819072,-77.0185617,0.6250306305636868,0.359428990467994
