,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,closest_greenspace_direct,closest_greenspace_loc,closest_metro_direct,closest_metro_loc
0,2024-04-15,Condo/Co-op,1391 Pennsylvania Ave SE #354,Washington,DC,20003.0,295000.0,0.0,1.0,Old City 1,451.0,,2007.0,310.0,38.8802061,-76.9876123,0.09802016088509247,"(38.880895158611395, -76.98690604265991)",0.21819815650695348,"(38.8807824, -76.9852027)"
1,2024-05-10,Townhouse,1346 K St SE,Washington,DC,20003.0,560000.0,3.0,1.0,Old City 1,1400.0,1752.0,1926.0,0.0,38.8785664,-76.9868844,0.19498674531731033,"(38.87912096694103, -76.98902134309195)",0.2861950778523546,"(38.8807824, -76.9852027)"
2,2024-03-28,Condo/Co-op,1391 Pennsylvania Ave SE #311,Washington,DC,20003.0,695000.0,2.0,2.0,Old City 1,1234.0,,2007.0,831.0,38.8802061,-76.9876123,0.09802016088509247,"(38.880895158611395, -76.98690604265991)",0.21819815650695348,"(38.8807824, -76.9852027)"
3,2024-03-22,Townhouse,1507 Freedom Way SE,Washington,DC,20003.0,785000.0,3.0,3.5,HILL EAST,1766.0,,1979.0,0.0,38.8797734,-76.9828624,0.0711269627909944,"(38.87915802926877, -76.9826381177721)",0.23157231781463367,"(38.8807824, -76.9852027)"
4,2024-04-15,Condo/Co-op,1391 Pennsylvania Ave SE #426,Washington,DC,20003.0,425000.0,1.0,1.0,Old City 1,684.0,,2007.0,475.0,38.8802061,-76.9876123,0.09802016088509247,"(38.880895158611395, -76.98690604265991)",0.21819815650695348,"(38.8807824, -76.9852027)"
5,2024-03-05,Townhouse,1414 K St SE,Washington,DC,20003.0,579500.0,3.0,1.0,Old City 1,1395.0,1425.0,1910.0,0.0,38.8785693,-76.9848595,0.14979958036865484,"(38.879858044076876, -76.98435534511422)",0.24787220139770733,"(38.8807824, -76.9852027)"
6,2024-05-16,Condo/Co-op,1391 Pennsylvania Ave SE #545,Washington,DC,20003.0,679900.0,2.0,2.0,Old City 1,1175.0,,2007.0,861.0,38.8802061,-76.9876123,0.09802016088509247,"(38.880895158611395, -76.98690604265991)",0.21819815650695348,"(38.8807824, -76.9852027)"
7,2024-03-26,Condo/Co-op,1345 K St SE Unit T01,Washington,DC,20003.0,575000.0,2.0,2.0,Old City 1,1058.0,,2017.0,485.0,38.8782241,-76.9866185,0.22800201956809324,"(38.880197717734134, -76.98590412910836)",0.3097461117339062,"(38.8807824, -76.9852027)"
8,2024-03-08,Condo/Co-op,1340 L St SE,Washington,DC,20003.0,660000.0,2.0,1.5,Old City 1,1188.0,,1980.0,150.0,38.8776834,-76.9868404,0.20450231434142394,"(38.87628603544892, -76.98530444230799)",0.3726137639516669,"(38.8807824, -76.9852027)"
10,2024-04-30,Single Family Residential,1101 44th Pl SE,Washington,DC,20019.0,608000.0,3.0,3.0,Fort Dupont Park,2128.0,4056.0,1960.0,0.0,38.8784905,-76.9375731,0.18615289261961135,"(38.87873333784721, -76.9354453478709)",1.3164868863607264,"(38.8903287, -76.937352)"
